School Name_x,State Name,County Name,City,ZIP,School Type,Charter School,Magnet School,Urban-centric Locale,Title I Eligible,Total Students,FRL,American Indian/Alaska Native,Asian,Hispanic,Black,White,Other,Multi-Race,Pupil/Teacher Ratio,Percentage of FRL,Percentage of American Indian/Alaska Native,Percentage of Asian,Percentage of Hispanic,Percentage of Black,Percentage of White,Percentage of Other,Percentage of Multi-Race,DBN,Latitude,Longitude,School Name_y,Impact Score,Performance Score
BRONX CHARTER SCHOOL FOR BETTER LEARNING,NEW YORK,Bronx County,BRONX,10466.0,Public,1,0,11-City: Large,1,499,0,1.0,11.0,46.0,431.0,7.0,0.0,3.0,11.16,0.0,0.2004008016032064,2.2044088176352705,9.218436873747494,86.37274549098196,1.402805611222445,0.0,0.6012024048096193,84X718,40.884191,-73.839693,Bronx Charter School for Better Learning,0.53,0.55
BRONX CHARTER SCHOOL FOR BETTER LEARNING II,NEW YORK,Bronx County,BRONX,10469.0,Public,1,0,11-City: Large,1,73,0,0.0,0.0,11.0,61.0,1.0,0.0,0.0,17.85,0.0,0.0,0.0,15.068493150684931,83.56164383561644,1.36986301369863,0.0,0.0,84X484,40.86383,-73.836531,Bronx Charter School for Better Learning II,0.47,0.49
BRONX CHARTER SCHOOL FOR CHILDREN,NEW YORK,Bronx County,BRONX,10454.0,Public,1,0,11-City: Large,1,426,0,0.0,1.0,318.0,97.0,3.0,0.0,7.0,14.16,0.0,0.0,0.2347417840375587,74.64788732394366,22.769953051643192,0.7042253521126761,0.0,1.643192488262911,84X407,40.812593,-73.919936,Bronx Charter School for Children,0.46,0.45
BRONX CHARTER SCHOOL FOR EXCELLENCE,NEW YORK,Bronx County,BRONX,10462.0,Public,1,0,11-City: Large,1,766,0,3.0,160.0,262.0,335.0,3.0,0.0,3.0,16.3,0.0,0.39164490861618795,20.887728459530024,34.20365535248042,43.73368146214099,0.39164490861618795,0.0,0.39164490861618795,84X255,40.834097,-73.858613,Bronx Charter School for Excellence,0.73,0.89
BRONX CHARTER SCHOOL FOR THE ARTS,NEW YORK,Bronx County,BRONX,10474.0,Public,1,0,11-City: Large,1,318,0,3.0,2.0,217.0,93.0,3.0,0.0,0.0,10.93,0.0,0.9433962264150944,0.628930817610063,68.23899371069182,29.245283018867923,0.9433962264150944,0.0,0.0,84X730,40.821821,-73.886466,Bronx Charter School for the Arts,0.57,0.46
BRONX COLLABORATIVE HIGH SCHOOL,NEW YORK,Bronx County,BRONX,10468.0,Public,0,0,11-City: Large,1,355,327,1.0,7.0,222.0,106.0,12.0,0.0,7.0,14.31,92.11267605633803,0.28169014084507044,1.971830985915493,62.53521126760564,29.859154929577464,3.3802816901408446,0.0,1.971830985915493,10X351,40.88129,-73.887454,Bronx Collaborative High School,0.55,0.41
BRONX COLLEGIATE ACADEMY,NEW YORK,Bronx County,BRONX,10457.0,Public,0,0,11-City: Large,1,389,290,0.0,4.0,283.0,97.0,2.0,0.0,3.0,15.83,74.55012853470437,0.0,1.0282776349614395,72.75064267352185,24.93573264781491,0.5141388174807198,0.0,0.7712082262210797,09X227,40.839857,-73.911282,Bronx Collegiate Academy,0.43,0.48
BRONX COMMUNITY CHARTER SCHOOL,NEW YORK,Bronx County,BRONX,10467.0,Public,1,0,11-City: Large,1,410,0,0.0,13.0,264.0,111.0,18.0,0.0,4.0,9.53,0.0,0.0,3.1707317073170733,64.39024390243902,27.073170731707318,4.390243902439024,0.0,0.975609756097561,84X398,40.87265,-73.874811,Bronx Community Charter School,0.46,0.45
BRONX COMMUNITY HIGH SCHOOL,NEW YORK,Bronx County,BRONX,10473.0,Public,0,0,11-City: Large,1,155,93,1.0,2.0,82.0,64.0,5.0,0.0,1.0,10.44,60.0,0.6451612903225806,1.2903225806451613,52.903225806451616,41.29032258064516,3.225806451612903,0.0,0.6451612903225806,08X377,40.821968,-73.855834,Bronx Community High School,0.61,0.63
BRONX COMPASS HIGH SCHOOL,NEW YORK,Bronx County,BRONX,10473.0,Public,0,0,11-City: Large,1,439,297,2.0,13.0,270.0,145.0,3.0,0.0,6.0,12.36,67.65375854214123,0.45558086560364464,2.9612756264236904,61.50341685649203,33.029612756264235,0.683371298405467,0.0,1.366742596810934,08X561,40.821968,-73.855834,Bronx Compass High School,0.42,0.41
BRONX DANCE ACADEMY SCHOOL,NEW YORK,Bronx County,BRONX,10467.0,Public,0,0,11-City: Large,1,276,239,0.0,5.0,211.0,57.0,3.0,0.0,0.0,14.38,86.59420289855072,0.0,1.8115942028985508,76.44927536231883,20.652173913043477,1.0869565217391304,0.0,0.0,10X308,40.885417,-73.877921,Bronx Dance Academy School,0.64,0.51
BRONX DELTA SCHOOL,NEW YORK,Bronx County,BRONX,10465.0,Public,0,0,11-City: Large,1,151,115,0.0,5.0,112.0,11.0,22.0,0.0,1.0,12.64,76.15894039735099,0.0,3.3112582781456954,74.17218543046357,7.28476821192053,14.56953642384106,0.0,0.6622516556291391,08X392,40.82679,-73.818081,Bronx Delta School,0.53,0.54
BRONX DESIGN AND CONSTRUCTION ACADEMY,NEW YORK,Bronx County,BRONX,10451.0,Public,0,0,11-City: Large,1,582,537,5.0,9.0,411.0,141.0,15.0,0.0,1.0,14.87,92.26804123711341,0.859106529209622,1.5463917525773196,70.61855670103093,24.22680412371134,2.5773195876288657,0.0,0.1718213058419244,07X522,40.818651,-73.919939,Bronx Design and Construction Academy,0.35,0.27
BRONX EARLY COLLEGE ACADEMY FOR TEACHING AND LEARNING,NEW YORK,Bronx County,BRONX,10456.0,Public,0,0,11-City: Large,1,507,402,1.0,13.0,334.0,148.0,9.0,0.0,2.0,16.77,79.28994082840237,0.19723865877712032,2.564102564102564,65.87771203155819,29.191321499013807,1.7751479289940828,0.0,0.39447731755424065,09X324,40.828212,-73.91758,Bronx Early College Academy for Teaching & Learning,0.38,0.42
