School Name_x,State Name,County Name,City,ZIP,School Type,Charter School,Magnet School,Urban-centric Locale,Title I Eligible,Total Students,FRL,American Indian/Alaska Native,Asian,Hispanic,Black,White,Other,Multi-Race,Pupil/Teacher Ratio,Percentage of FRL,Percentage of American Indian/Alaska Native,Percentage of Asian,Percentage of Hispanic,Percentage of Black,Percentage of White,Percentage of Other,Percentage of Multi-Race,DBN,Latitude,Longitude,School Name_y,Impact Score,Performance Score
THEATRE ARTS PRODUCTION COMPANY SCHOOL,NEW YORK,Bronx County,BRONX,10457.0,Public,0,0,11-City: Large,1,633,446,5.0,8.0,429.0,174.0,11.0,0.0,6.0,14.66,70.45813586097947,0.7898894154818324,1.263823064770932,67.77251184834124,27.488151658767773,1.7377567140600316,0.0,0.9478672985781991,10X225,40.854391,-73.897229,Theatre Arts Production Company School,0.45,0.45
THEATRE ARTS PRODUCTION COMPANY SCHOOL,NEW YORK,Bronx County,BRONX,10457.0,Public,0,0,11-City: Large,1,633,446,5.0,8.0,429.0,174.0,11.0,0.0,6.0,14.66,70.45813586097947,0.7898894154818324,1.263823064770932,67.77251184834124,27.488151658767773,1.7377567140600316,0.0,0.9478672985781991,10X225,40.854391,-73.897229,Theatre Arts Production Company School,0.4,0.43
THOMAS A EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,Queens County,JAMAICA,11432.0,Public,0,0,11-City: Large,1,2141,1645,76.0,993.0,497.0,449.0,92.0,0.0,34.0,20.44,76.83325548808968,3.5497431106959367,46.38019617001401,23.21345165810369,20.971508640822044,4.2970574497898175,0.0,1.5880429705744978,28Q620,40.716161,-73.79885,Thomas A. Edison Career and Technical Education High School,0.56,0.66
THOMAS C GIORDANO MIDDLE SCHOOL 45,NEW YORK,Bronx County,BRONX,10458.0,Public,0,0,11-City: Large,1,730,703,3.0,9.0,567.0,119.0,32.0,0.0,0.0,14.68,96.30136986301369,0.410958904109589,1.2328767123287672,77.67123287671232,16.301369863013697,4.383561643835616,0.0,0.0,10X045,40.858393,-73.887157,Thomas C. Giordano Middle School 45,0.42,0.34
THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CHANGE,NEW YORK,New York County,NEW YORK,10030.0,Public,0,0,11-City: Large,1,547,385,2.0,7.0,125.0,407.0,2.0,0.0,4.0,15.8,70.38391224862889,0.3656307129798903,1.2797074954296161,22.851919561243143,74.40585009140767,0.3656307129798903,0.0,0.7312614259597806,05M670,40.81529,-73.944264,Thurgood Marshall Academy for Learning and Social Change,0.54,0.47
THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CHANGE,NEW YORK,New York County,NEW YORK,10030.0,Public,0,0,11-City: Large,1,547,385,2.0,7.0,125.0,407.0,2.0,0.0,4.0,15.8,70.38391224862889,0.3656307129798903,1.2797074954296161,22.851919561243143,74.40585009140767,0.3656307129798903,0.0,0.7312614259597806,05M670,40.81529,-73.944264,Thurgood Marshall Academy for Learning and Social Change,0.39,0.4
THURGOOD MARSHALL ACADEMY LOWER SCHOOL,NEW YORK,New York County,NEW YORK,10027.0,Public,0,0,11-City: Large,1,220,186,3.0,6.0,31.0,173.0,2.0,0.0,5.0,14.78,84.54545454545455,1.3636363636363635,2.727272727272727,14.09090909090909,78.63636363636364,0.9090909090909091,0.0,2.272727272727273,05M318,40.825899,-73.937769,Thurgood Marshall Academy Lower School,0.46,0.41
TOMPKINS SQUARE MIDDLE SCHOOL,NEW YORK,New York County,NEW YORK,10009.0,Public,0,0,11-City: Large,1,372,258,3.0,86.0,139.0,59.0,75.0,0.0,10.0,12.86,69.35483870967742,0.8064516129032258,23.118279569892472,37.365591397849464,15.86021505376344,20.161290322580644,0.0,2.6881720430107525,01M839,40.724207,-73.981582,Tompkins Square Middle School,0.52,0.54
TOTTENVILLE HIGH SCHOOL,NEW YORK,Richmond County,STATEN ISLAND,10312.0,Public,0,0,11-City: Large,0,3914,1158,14.0,199.0,490.0,73.0,3089.0,0.0,49.0,19.76,29.58610117526827,0.35769034236075625,5.084312723556464,12.51916198262647,1.8650996423096575,78.921819110884,0.0,1.251916198262647,31R455,40.527317,-74.192728,Tottenville High School,0.57,0.66
TOWNSEND HARRIS HIGH SCHOOL,NEW YORK,Queens County,FLUSHING,11367.0,Public,0,0,11-City: Large,0,1132,621,11.0,662.0,138.0,65.0,246.0,0.0,10.0,21.28,54.85865724381625,0.9717314487632509,58.48056537102474,12.190812720848058,5.742049469964664,21.73144876325088,0.0,0.88339222614841,25Q525,40.734908,-73.820596,Townsend Harris High School,0.75,0.87
